bin	count	pcc_o	se_o	mse_o	p_pcc_o	p_mwu_o	pcc_t	se_t	mse_t	p_pcc_t	p_mwu_t	pcc_af	se_af	mse_af	p_pcc_af	p_mwu_af	pcc_tas	se_tas	mse_tas	p_pcc_tas	p_mwu_tas
90	207	0.40	0.06	1.49	1.85e-09	7.88e-13	0.37	0.07	1.53	6.01e-08	1.84e-13	0.40	0.06	1.52	2.24e-09	1.16e-12	0.30	0.07	1.62	1.42e-05	1.13e-15
80	138	0.39	0.08	1.86	2.97e-06	0.0031	0.29	0.08	1.93	0.0005	0.0019	0.37	0.08	1.83	9.23e-06	0.0225	0.27	0.08	1.95	0.0011	0.0014
70	31	0.52	0.16	1.87	0.0029	0.0369	0.29	0.18	2.08	0.1090	0.0087	0.50	0.16	1.92	0.0040	0.0358	0.01	0.19	2.13	0.9435	0.0186
60	103	0.24	0.10	1.18	0.0144	3.08e-07	0.07	0.10	1.29	0.4671	1.82e-07	0.14	0.10	1.28	0.1624	4.47e-07	0.09	0.10	1.25	0.3483	1.46e-07
50	13	0.82	0.17	1.61	0.0006	0.4389	0.76	0.20	1.72	0.0027	0.4796	0.74	0.20	1.81	0.0038	0.4796	0.72	0.21	1.84	0.0056	0.4592
30-40	12	0.51	0.27	2.26	0.0868	0.1183	0.41	0.29	2.30	0.1808	0.1427	0.50	0.27	2.35	0.0955	0.0303	0.22	0.31	2.58	0.4944	0.0345
