bin	count	pcc_o	se_o	mse_o	p_pcc_o	p_mwu_o	pcc_t	se_t	mse_t	p_pcc_t	p_mwu_t	pcc_af	se_af	mse_af	p_pcc_af	p_mwu_af	pcc_tas	se_tas	mse_tas	p_pcc_tas	p_mwu_tas
90	222	0.49	0.06	1.35	9.98e-15	0.3037	0.43	0.06	1.40	2.47e-11	0.1969	0.49	0.06	1.31	8.84e-15	0.2394	0.38	0.06	1.50	5.13e-09	0.0054
80	109	0.60	0.08	1.34	8.35e-12	0.4777	0.54	0.08	1.42	9.36e-10	0.1344	0.55	0.08	1.50	5.08e-10	0.2409	0.46	0.09	1.62	4.07e-07	0.3229
70	24	0.53	0.18	1.73	0.0082	0.4877	0.78	0.13	1.30	6.17e-06	0.1848	0.56	0.18	1.75	0.0042	0.4712	-0.27	0.21	2.64	0.2002	0.0310
60	118	0.48	0.08	1.56	4.48e-08	0.2317	0.44	0.08	1.50	7.22e-07	0.1818	0.49	0.08	1.45	1.80e-08	0.2519	0.40	0.08	1.69	6.14e-06	7.25e-05
50	11	0.91	0.14	1.08	0.0001	0.4738	0.86	0.17	1.39	0.0006	0.4478	0.82	0.19	1.49	0.0019	0.4738	0.83	0.19	1.47	0.0015	0.5000
30-40	12	0.39	0.29	2.42	0.2085	0.1854	0.49	0.28	2.37	0.1085	0.0970	0.37	0.29	2.43	0.2302	0.3118	0.03	0.32	2.93	0.9259	0.4426
