bin	count	pcc_o	se_o	mse_o	p_pcc_o	p_mwu_o	pcc_t	se_t	mse_t	p_pcc_t	p_mwu_t	pcc_af	se_af	mse_af	p_pcc_af	p_mwu_af	pcc_tas	se_tas	mse_tas	p_pcc_tas	p_mwu_tas
90	70	0.31	0.12	2.46	0.0091	0.0262	0.25	0.12	2.53	0.0359	0.4709	0.35	0.11	2.47	0.0030	0.1857	0.40	0.11	2.32	0.0006	0.0066
80	112	0.28	0.09	2.72	0.0025	0.1515	0.29	0.09	2.73	0.0017	0.2249	0.46	0.08	2.55	3.49e-07	0.3892	0.32	0.09	2.60	0.0007	0.2121
70	5	0.43	0.52	2.49	0.4732	0.4173	-0.23	0.56	3.64	0.7137	0.4173	0.41	0.53	2.20	0.4964	0.4173	0.08	0.58	5.69	0.8924	0.0301
60	17	0.17	0.25	2.25	0.5123	0.3652	-0.22	0.25	2.83	0.4058	0.1427	0.12	0.26	2.74	0.6408	0.3026	-0.03	0.26	2.27	0.9061	0.1074
50	6	0.77	0.32	1.16	0.0715	0.1490	0.33	0.47	1.81	0.5258	0.0867	0.60	0.40	1.63	0.2070	0.2876	0.75	0.33	1.49	0.0829	0.1490
