bin	count	pcc_t	se_t	mse_t	p_pcc_t	p_mwu_t	pcc_af	se_af	mse_af	p_pcc_af	p_mwu_af	pcc_tas	se_tas	mse_tas	p_pcc_tas	p_mwu_tas
90	210	0.76	0.04	0.55	2.26e-41	0.1502	0.83	0.04	0.46	1.26e-55	0.4700	0.78	0.04	0.54	8.34e-44	0.2745
80	356	0.76	0.03	0.55	1.81e-67	0.2065	0.72	0.04	0.57	3.62e-57	0.4852	0.69	0.04	0.62	1.85e-51	0.0743
70	226	0.74	0.05	0.57	5.43e-40	0.1993	0.68	0.05	0.62	1.08e-31	0.2767	0.74	0.04	0.56	1.44e-40	0.3562
50	198	0.60	0.06	0.64	1.97e-20	0.3632	0.68	0.05	0.55	2.01e-28	0.3316	0.66	0.05	0.54	1.35e-26	0.4338
30-40	61	0.73	0.09	0.63	1.56e-11	0.2569	0.70	0.09	0.62	2.33e-10	0.4209	0.75	0.09	0.59	3.86e-12	0.2849
