bin	count	pcc_t	se_t	mse_t	p_pcc_t	p_mwu_t	pcc_af	se_af	mse_af	p_pcc_af	p_mwu_af	pcc_tas	se_tas	mse_tas	p_pcc_tas	p_mwu_tas
90	355	0.90	0.02	0.78	5.13e-128	0.4927	0.92	0.02	0.68	1.53e-148	0.3487	0.62	0.04	1.52	2.81e-39	3.22e-05
80	391	0.84	0.03	1.10	1.09e-106	0.4365	0.81	0.03	1.23	2.97e-90	0.3304	0.47	0.04	2.08	3.39e-23	1.66e-09
70	283	0.79	0.04	1.20	2.73e-61	0.3802	0.82	0.03	1.13	2.69e-69	0.2710	0.65	0.05	1.55	4.47e-35	0.0355
50	154	0.79	0.05	1.29	2.17e-34	0.4745	0.89	0.04	0.95	2.13e-53	0.3109	0.69	0.06	1.55	6.98e-23	0.1262
30-40	196	0.66	0.05	1.66	2.39e-26	0.4370	0.86	0.04	1.09	6.00e-59	0.4657	0.47	0.06	2.24	2.26e-12	9.88e-07
