bin	count	pcc_t	se_t	mse_t	p_pcc_t	p_mwu_t	pcc_af	se_af	mse_af	p_pcc_af	p_mwu_af	pcc_tas	se_tas	mse_tas	p_pcc_tas	p_mwu_tas
90	341	0.59	0.04	3.43	2.52e-33	0.0127	0.25	0.05	4.30	2.30e-06	0.2435	0.34	0.05	4.18	8.68e-11	0.0008
80	276	0.66	0.05	3.31	1.59e-35	0.1903	0.12	0.06	4.93	0.0512	0.1509	0.19	0.06	4.80	0.0019	0.0150
70	103	0.68	0.07	3.06	4.61e-15	0.4222	0.12	0.10	4.85	0.2429	0.4949	0.21	0.10	4.86	0.0347	0.0082
50	133	0.51	0.08	3.58	2.87e-10	0.2264	0.39	0.08	4.20	3.67e-06	0.4288	0.40	0.08	4.09	2.08e-06	0.1755
30-40	34	0.85	0.09	1.89	2.83e-10	0.3182	0.88	0.08	1.81	9.92e-12	0.1359	0.53	0.15	3.54	0.0013	0.0044
