bin	count	pcc_original	se_original	rmse_original	p_pcc_original	pcc_template	se_template	rmse_template	p_pcc_template	pcc_alphafold	se_alphafold	rmse_alphafold	p_pcc_alphafold	pcc_tasser	se_tasser	rmse_tasser	p_pcc_tasser	p_z_template	p_z_alphafold	p_z_tasser
90	47	0.4	0.14	2.21	0.0053	0.29	0.14	2.66	0.0501	0.4	0.14	2.68	0.0048	0.47	0.13	2.24	0.0008	0.3137	0.5	0.3704
80	61	-0.09	0.13	2.84	0.4818	-0.03	0.13	2.57	0.8016	0.46	0.12	2.22	0.0002	0.21	0.13	2.58	0.0978	0.3901	0.0027	0.1138
70	89	0.34	0.1	2.65	0.0012	0.25	0.1	2.75	0.0193	0.42	0.1	2.61	4.5e-05	0.31	0.1	2.55	0.0028	0.2821	0.2404	0.4095
60	25	0.29	0.2	2.33	0.1654	-0.09	0.21	3.05	0.6521	0.16	0.21	2.81	0.4365	-0.15	0.21	3.44	0.4733	0.1138	0.1614	0.1138
50	4	0.98	0.12	0.92	0.0153	0.58	0.58	1.3	0.4224	0.8	0.42	1.04	0.1976	0.76	0.46	1.67	0.2397	0.2404	0.2404	0.2404
30-40	10	-0.04	0.35	2.59	0.9071	-0.22	0.35	3.52	0.5486	0.6	0.28	2.53	0.0675	0.55	0.29	1.67	0.0964	0.3989	0.1614	0.2404
