bin	count	pcc_original	se_original	rmse_original	p_pcc_original	pcc_template	se_template	rmse_template	p_pcc_template	pcc_alphafold	se_alphafold	rmse_alphafold	p_pcc_alphafold	pcc_tasser	se_tasser	rmse_tasser	p_pcc_tasser	p_z_template	p_z_alphafold	p_z_tasser
90	71	0.6	0.1	1.62	4.4e-08	0.57	0.1	1.58	2.4e-07	0.54	0.1	1.58	1.2e-06	0.5	0.1	1.73	1.1e-05	0.3442	0.1847	0.1344
80	83	0.27	0.11	1.56	0.015	0.09	0.11	1.75	0.4196	0.22	0.11	1.56	0.0456	0.15	0.11	1.7	0.1661	0.0825	0.3442	0.1348
70	10	-0.03	0.35	4.31	0.9254	0.04	0.35	4.13	0.9197	0.37	0.33	3.89	0.2923	-0.32	0.34	4.59	0.3688	0.4051	0.1847	0.3635
60	20	0.37	0.22	1.51	0.1114	0.64	0.18	1.26	0.0024	0.62	0.18	1.26	0.0035	0.67	0.18	1.3	0.0014	0.0825	0.1348	0.1344
50	8	0.24	0.4	2.26	0.5697	0.33	0.39	2.2	0.4275	0.15	0.4	2.15	0.7145	0.39	0.38	2.35	0.3447	0.3442	0.3442	0.3442
30-40	9	0.33	0.36	2.26	0.3852	0.11	0.38	2.4	0.7808	0.25	0.37	2.35	0.5214	-0.6	0.3	3.16	0.0873	0.3442	0.4051	0.099
