bin	count	pcc_original	se_original	rmse_original	p_pcc_original	pcc_template	se_template	rmse_template	p_pcc_template	pcc_alphafold	se_alphafold	rmse_alphafold	p_pcc_alphafold	pcc_tasser	se_tasser	rmse_tasser	p_pcc_tasser	p_z_template	p_z_alphafold	p_z_tasser
90	71	0.54	0.1	1.65	1.0e-06	0.54	0.1	1.66	1.2e-06	0.57	0.1	1.58	1.6e-07	0.55	0.1	1.63	8.9e-07	-	0.095	-
80	83	0.2	0.11	1.53	0.0723	0.13	0.11	1.59	0.23	0.09	0.11	1.65	0.4117	0.09	0.11	1.63	0.4041	0.095	0.0575	0.0575
70	10	0.45	0.32	3.92	0.1875	0.31	0.34	3.91	0.3789	0.23	0.34	3.92	0.5234	0.28	0.34	3.91	0.4263	0.1393	0.095	0.095
60	20	0.23	0.23	1.45	0.3373	0.34	0.22	1.43	0.1465	0.23	0.23	1.44	0.3257	0.2	0.23	1.45	0.3916	0.095	0.6429	0.2778
50	8	0.46	0.36	2.72	0.2495	0.52	0.35	2.73	0.1838	0.36	0.38	2.6	0.3776	0.51	0.35	2.7	0.1937	-	0.095	0.2778
30-40	9	-0.48	0.33	2.54	0.1957	-0.3	0.36	2.44	0.4317	-0.46	0.34	2.56	0.21	-0.5	0.33	2.57	0.1698	0.095	-	0.4783
