bin	count	pcc_original	se_original	rmse_original	p_pcc_original	pcc_template	se_template	rmse_template	p_pcc_template	pcc_alphafold	se_alphafold	rmse_alphafold	p_pcc_alphafold	pcc_tasser	se_tasser	rmse_tasser	p_pcc_tasser	p_z_template	p_z_alphafold	p_z_tasser
90	132	0.57	0.07	1.53	1.2e-12	0.49	0.08	1.62	2.5e-09	0.5	0.08	1.64	7.5e-10	0.46	0.08	1.75	2.7e-08	0.2638	0.2638	0.1666
80	105	0.2	0.1	1.42	0.0387	0.21	0.1	1.4	0.0341	0.19	0.1	1.41	0.0545	0.1	0.1	1.47	0.3122	0.4742	0.4742	0.2638
70	110	0.33	0.09	1.94	0.0004	0.34	0.09	1.93	0.0003	0.38	0.09	1.85	5.2e-05	0.27	0.09	1.99	0.004	0.4742	0.3614	0.279
60	161	0.38	0.07	1.62	8.8e-07	0.36	0.07	1.66	3.1e-06	0.33	0.07	1.66	1.6e-05	0.3	0.08	1.67	0.0001	0.4742	0.279	0.2638
50	16	0.6	0.21	2.04	0.0139	0.6	0.21	2.05	0.0142	0.54	0.22	2.14	0.03	0.58	0.22	2.13	0.0191	0.5	0.3614	0.4742
30-40	18	0.43	0.23	1.98	0.0742	0.4	0.23	1.99	0.0998	0.49	0.22	2.04	0.0403	0.24	0.24	2.23	0.3378	0.4742	0.4742	0.2638
