bin	count	pcc_original	se_original	rmse_original	p_pcc_original	pcc_template	se_template	rmse_template	p_pcc_template	pcc_alphafold	se_alphafold	rmse_alphafold	p_pcc_alphafold	pcc_tasser	se_tasser	rmse_tasser	p_pcc_tasser	p_z_template	p_z_alphafold	p_z_tasser
90	90	0.53	0.09	2.42	1.0e-07	0.31	0.1	3.01	0.0025	0.46	0.09	3.36	4.0e-06	0.22	0.1	3.45	0.0345	0.0273	0.2791	0.0163
80	55	0.47	0.12	2.46	0.0003	0.37	0.13	3.03	0.0056	0.5	0.12	2.51	9.0e-05	0.3	0.13	2.58	0.0275	0.2791	0.3387	0.1129
70	80	0.57	0.09	2.11	2.7e-08	0.55	0.09	2.11	1.0e-07	0.41	0.1	2.94	0.0002	0.34	0.11	2.64	0.0023	0.4075	0.0335	0.0273
60	133	0.44	0.08	2.55	8.5e-08	0.32	0.08	2.47	0.0001	0.39	0.08	2.82	3.1e-06	0.27	0.08	2.63	0.0018	0.0511	0.2791	0.0406
50	9	0.91	0.15	2.18	0.0006	0.87	0.18	2.83	0.0021	0.89	0.18	2.86	0.0015	0.52	0.32	3.71	0.1502	0.3256	0.3387	0.0917
30-40	10	0.09	0.35	3.14	0.7959	0.21	0.35	3.49	0.5603	0.2	0.35	3.87	0.5814	-0.32	0.33	5.21	0.3638	0.4144	0.4075	0.3253
