bin	count	pcc_original	se_original	rmse_original	p_pcc_original	pcc_template	se_template	rmse_template	p_pcc_template	pcc_alphafold	se_alphafold	rmse_alphafold	p_pcc_alphafold	pcc_tasser	se_tasser	rmse_tasser	p_pcc_tasser	p_z_template	p_z_alphafold	p_z_tasser
90	113	0.6	0.08	1.26	2.9e-12	0.42	0.09	1.52	2.8e-06	0.57	0.08	1.28	3.8e-11	0.5	0.08	1.52	1.8e-08	0.0298	0.3997	0.3942
80	87	0.35	0.1	1.49	0.0009	0.38	0.1	1.32	0.0003	0.36	0.1	1.52	0.0007	0.25	0.11	1.53	0.0221	0.4442	0.4442	0.3997
70	94	0.6	0.08	1.35	1.1e-10	0.55	0.09	1.43	1.3e-08	0.57	0.09	1.43	1.8e-09	0.44	0.09	1.65	1.0e-05	0.3942	0.3997	0.1225
60	139	0.47	0.08	1.59	4.8e-09	0.5	0.07	1.47	4.8e-10	0.49	0.07	1.52	1.2e-09	0.25	0.08	1.87	0.0027	0.3997	0.3997	0.0488
50	14	0.87	0.14	1.25	4.5e-05	0.86	0.15	1.4	7.0e-05	0.84	0.15	1.39	0.0001	0.79	0.18	1.65	0.0009	0.4442	0.4442	0.3942
30-40	12	0.39	0.29	2.42	0.2085	0.49	0.28	2.37	0.1085	0.37	0.29	2.43	0.2302	0.03	0.32	2.93	0.9259	0.3997	0.4442	0.3942
