bin	count	pcc_template	se_template	rmse_template	p_pcc_template	pcc_alphafold	se_alphafold	rmse_alphafold	p_pcc_alphafold	pcc_tasser	se_tasser	rmse_tasser	p_pcc_tasser	p_z_alphafold	p_z_tasser
90	381	0.83	0.03	0.6	2.1e-96	0.86	0.03	0.56	2.0e-110	0.74	0.03	0.72	1.6e-68	0.0334	1.5e-05
80	450	0.84	0.03	0.58	1.1e-119	0.83	0.03	0.62	5.1e-116	0.76	0.03	0.72	3.7e-85	0.2511	1.5e-05
70	310	0.79	0.03	0.64	3.1e-67	0.82	0.03	0.63	4.0e-76	0.78	0.04	0.69	3.2e-65	0.0859	0.3318
50	168	0.88	0.04	0.59	1.3e-55	0.9	0.03	0.55	3.6e-63	0.84	0.04	0.73	4.0e-46	0.1183	0.046
30-40	236	0.78	0.04	0.7	2.1e-50	0.82	0.04	0.67	5.6e-58	0.71	0.05	0.84	4.0e-38	0.0673	0.0324
