bin	count	pcc_template	se_template	rmse_template	p_pcc_template	pcc_alphafold	se_alphafold	rmse_alphafold	p_pcc_alphafold	pcc_tasser	se_tasser	rmse_tasser	p_pcc_tasser	p_z_alphafold	p_z_tasser
90	210	0.76	0.04	0.55	2.3e-41	0.83	0.04	0.46	1.3e-55	0.78	0.04	0.54	8.3e-44	0.0181	0.3479
80	356	0.76	0.03	0.55	1.8e-67	0.72	0.04	0.57	3.6e-57	0.69	0.04	0.62	1.8e-51	0.1319	0.0186
70	226	0.74	0.05	0.57	5.4e-40	0.68	0.05	0.62	1.1e-31	0.74	0.04	0.56	1.4e-40	0.1159	0.5
50	119	0.79	0.06	0.48	2.6e-26	0.79	0.06	0.47	9.7e-27	0.75	0.06	0.5	1.3e-22	0.5	0.1975
30-40	51	0.75	0.09	0.63	1.7e-10	0.82	0.08	0.49	1.3e-13	0.77	0.09	0.58	4.7e-11	0.1898	0.4574
