bin	count	pcc_template	se_template	rmse_template	p_pcc_template	pcc_alphafold	se_alphafold	rmse_alphafold	p_pcc_alphafold	pcc_tasser	se_tasser	rmse_tasser	p_pcc_tasser	p_z_alphafold	p_z_tasser
90	84	0.74	0.07	2.6	9.0e-16	0.73	0.08	2.77	2.3e-15	0.39	0.1	4.16	0.0003	0.4096	0.0002
80	140	0.76	0.06	2.47	2.7e-27	0.65	0.06	3.12	2.6e-18	0.55	0.07	3.54	3.1e-12	0.0069	0.0002
70	124	0.7	0.06	2.53	6.5e-20	0.8	0.05	2.12	2.2e-29	0.46	0.08	3.56	7.1e-08	0.0075	0.0002
50	49	0.8	0.09	2.63	8.0e-12	0.78	0.09	2.71	2.5e-11	0.56	0.12	4.17	2.5e-05	0.3982	0.0023
30-40	70	0.42	0.11	4.43	0.0003	0.71	0.09	2.54	6.2e-12	0.51	0.1	3.64	8.2e-06	0.0024	0.3115
